kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
aten.1.sm_86.ptx 4160 : 8192 59360 0 0 0 0 0 0 0 
aten.1.sm_86.ptx 4157 : 8192 51360 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4156 : 8192 56960 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4155 : 8192 54240 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4154 : 8192 58240 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4153 : 8192 54816 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4152 : 8192 56832 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4151 : 8192 57376 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4150 : 8192 59808 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4149 : 8192 55168 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4148 : 8192 62016 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4147 : 8192 53440 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4146 : 8192 56480 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4145 : 8192 58176 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4144 : 8192 59520 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4143 : 8192 59168 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4142 : 8192 60064 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4141 : 8192 53792 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4140 : 8192 59168 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4139 : 8192 57728 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4138 : 8192 57440 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4137 : 8192 58400 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4136 : 8192 57248 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4135 : 8192 64896 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4134 : 8192 54784 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4133 : 8192 97984 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4132 : 8192 51616 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4131 : 8192 83168 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4130 : 8192 50720 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4129 : 8192 88384 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4128 : 8192 97312 0 0 0 256 256 0 0 
aten.1.sm_86.ptx 4127 : 8192 44576 0 0 0 256 256 0 0 
