kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
sftmx.1.sm_86.ptx 336 : 2048 9856 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 335 : 2048 13312 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 310 : 2048 18688 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 292 : 255 9182 0 19 12 0 0 0 0 
sftmx.1.sm_86.ptx 291 : 255 9182 0 19 12 0 0 0 0 
sftmx.1.sm_86.ptx 290 : 255 2295 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 289 : 255 1530 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 287 : 2048 8965 0 0 0 0 0 0 5 
sftmx.1.sm_86.ptx 286 : 2048 12288 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 283 : 256 0 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 282 : 256 1280 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 281 : 256 1920 0 16 8 0 0 0 0 
sftmx.1.sm_86.ptx 278 : 2048 9856 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 277 : 2048 13312 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 276 : 2048 18432 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 275 : 2048 19456 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 274 : 2048 55616 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 273 : 2048 12288 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 272 : 2048 12288 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 271 : 2048 12288 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 270 : 2048 18464 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 269 : 2048 10240 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 268 : 2048 18432 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 267 : 2048 11392 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 266 : 2048 12288 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 265 : 2048 18432 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 264 : 2048 18432 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 263 : 2048 11392 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 262 : 2048 12256 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 261 : 2048 12288 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 260 : 2048 18464 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 259 : 2048 10240 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 258 : 2048 10240 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 257 : 2048 18432 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 256 : 2048 88768 0 0 0 256 64 0 0 
sftmx.1.sm_86.ptx 255 : 2048 18688 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 254 : 2048 18560 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 251 : 256 1536 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 250 : 256 1280 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 248 : 256 0 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 247 : 256 1280 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 246 : 256 1280 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 245 : 256 9440 0 8 8 0 0 0 0 
sftmx.1.sm_86.ptx 244 : 256 1536 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 241 : 2048 8960 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 240 : 2048 12288 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 239 : 2048 12288 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 235 : 255 1244 0 19 12 0 0 0 0 
sftmx.1.sm_86.ptx 234 : 255 2295 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 233 : 255 9214 0 19 12 0 0 0 0 
sftmx.1.sm_86.ptx 232 : 255 2295 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 238 : 2048 10368 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 231 : 255 1530 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 230 : 255 9214 0 19 12 0 0 0 0 
sftmx.1.sm_86.ptx 228 : 2048 8965 0 0 0 0 0 0 5 
sftmx.1.sm_86.ptx 227 : 2048 12288 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 224 : 256 1536 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 222 : 256 0 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 221 : 256 1536 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 220 : 256 1536 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 219 : 256 1280 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 218 : 256 1312 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 217 : 256 1280 0 16 8 0 0 0 0 
sftmx.1.sm_86.ptx 216 : 256 2304 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 215 : 256 1568 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 214 : 256 1536 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 211 : 2048 9184 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 210 : 2048 12608 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 209 : 2048 18464 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 208 : 2048 18720 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 207 : 2048 500064 0 0 0 256 64 0 0 
sftmx.1.sm_86.ptx 206 : 2048 19040 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 205 : 2048 18432 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 202 : 256 1632 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 201 : 256 1280 0 0 0 0 0 0 0 
