kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
matmul.1.sm_86.ptx 124 : 2048 8192 0 0 0 256 128 0 0 
matmul.1.sm_86.ptx 123 : 2048 18432 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 122 : 2048 19584 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 121 : 2048 17152 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 120 : 2048 19936 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 98 : 2048 16128 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 97 : 2048 12288 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 94 : 524288 3065808 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 93 : 524288 3640112 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 58 : 2048 12864 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 57 : 2048 15744 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 56 : 2048 15072 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 55 : 2048 24352 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 53 : 2048 0 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 52 : 2048 12864 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 51 : 2048 12288 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 49 : 32768 175264 0 0 0 0 0 0 128 
matmul.1.sm_86.ptx 48 : 32768 252992 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 47 : 32768 256384 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 46 : 32768 280512 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 45 : 32768 378048 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 44 : 32768 291712 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 43 : 32768 248512 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 59 : 2048 13024 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 30 : 32768 995456 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 89 : 524288 4743248 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 31 : 32768 417728 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 90 : 524288 6317344 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 32 : 32768 425984 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 91 : 524288 6041424 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 33 : 32768 425984 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 92 : 524288 5829456 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 34 : 32768 425984 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 35 : 32768 434816 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 36 : 32768 343872 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 37 : 32768 231936 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 38 : 32768 196608 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 39 : 32768 196608 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 127 : 32768 190080 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 68 : 2048 19840 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 40 : 32768 242688 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 41 : 32768 375488 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 42 : 32768 286656 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 60 : 2048 0 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 62 : 2048 21632 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 63 : 2048 23104 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 64 : 2048 20160 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 65 : 2048 23360 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 66 : 2048 19904 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 67 : 2048 22368 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 69 : 2048 24320 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 70 : 2048 16384 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 73 : 524288 4745520 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 74 : 524288 125884096 0 0 0 65536 32768 0 0 
matmul.1.sm_86.ptx 75 : 524288 73433168 0 0 0 32768 32768 0 0 
matmul.1.sm_86.ptx 76 : 524288 4883536 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 77 : 524288 4856064 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 78 : 524288 125857184 0 0 0 65536 32768 0 0 
matmul.1.sm_86.ptx 79 : 524288 22544384 0 0 0 32768 32768 0 0 
matmul.1.sm_86.ptx 80 : 524288 4718592 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 81 : 524288 4718592 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 82 : 524288 125854800 0 0 0 65536 32768 0 0 
matmul.1.sm_86.ptx 83 : 524288 22544384 0 0 0 32768 32768 0 0 
matmul.1.sm_86.ptx 84 : 524288 4718592 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 85 : 524288 4719408 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 86 : 524288 4742544 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 87 : 524288 125910048 0 0 0 65536 32768 0 0 
matmul.1.sm_86.ptx 88 : 524288 22544384 0 0 0 32768 32768 0 0 
