kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
matmul.1.sm_86.ptx 161 : 32768 224992 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 158 : 2097152 12733088 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 157 : 2097152 15934560 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 156 : 2097152 24755520 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 155 : 2097152 25174816 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 154 : 2097152 25452352 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 153 : 2097152 30765920 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 152 : 2097152 23308224 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 151 : 2097152 13902688 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 150 : 2097152 13958752 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 149 : 2097152 20184192 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 148 : 2097152 91237760 0 131072 65536 0 0 0 0 
matmul.1.sm_86.ptx 147 : 2097152 90338784 0 65536 65536 0 0 0 0 
matmul.1.sm_86.ptx 146 : 2097152 21685568 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 145 : 2097152 93782528 0 131072 65536 0 0 0 0 
matmul.1.sm_86.ptx 144 : 2097152 92763616 0 65536 65536 0 0 0 0 
matmul.1.sm_86.ptx 143 : 2097152 22216672 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 142 : 2097152 95542208 0 131072 65536 0 0 0 0 
matmul.1.sm_86.ptx 141 : 2097152 94852256 0 65536 65536 0 0 0 0 
matmul.1.sm_86.ptx 140 : 2097152 22442656 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 139 : 2097152 96711616 0 131072 65536 0 0 0 0 
matmul.1.sm_86.ptx 138 : 2097152 95960096 0 65536 65536 0 0 0 0 
matmul.1.sm_86.ptx 137 : 2097152 22566880 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 136 : 2097152 97561600 0 131072 65536 0 0 0 0 
matmul.1.sm_86.ptx 135 : 2097152 96896576 0 65536 65536 0 0 0 0 
matmul.1.sm_86.ptx 134 : 2097152 22824000 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 133 : 2097152 97850912 0 131072 65536 0 0 0 0 
matmul.1.sm_86.ptx 132 : 2097152 98045376 0 65536 65536 0 0 0 0 
matmul.1.sm_86.ptx 131 : 2097152 22780384 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 130 : 2097152 98097696 0 131072 65536 0 0 0 0 
matmul.1.sm_86.ptx 129 : 2097152 97614688 0 65536 65536 0 0 0 0 
matmul.1.sm_86.ptx 128 : 2097152 22783840 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 127 : 2097152 99841280 0 131072 65536 0 0 0 0 
matmul.1.sm_86.ptx 126 : 2097152 101742368 0 65536 65536 0 0 0 0 
matmul.1.sm_86.ptx 125 : 2097152 22694848 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 124 : 2097152 99269856 0 131072 65536 0 0 0 0 
matmul.1.sm_86.ptx 123 : 2097152 100313120 0 65536 65536 0 0 0 0 
matmul.1.sm_86.ptx 122 : 2097152 23085792 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 121 : 2097152 101550272 0 131072 65536 0 0 0 0 
matmul.1.sm_86.ptx 120 : 2097152 100058208 0 65536 65536 0 0 0 0 
matmul.1.sm_86.ptx 119 : 2097152 23190208 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 118 : 2097152 101052352 0 131072 65536 0 0 0 0 
matmul.1.sm_86.ptx 117 : 2097152 105641184 0 65536 65536 0 0 0 0 
matmul.1.sm_86.ptx 116 : 2097152 23190080 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 115 : 2097152 106275168 0 131072 65536 0 0 0 0 
matmul.1.sm_86.ptx 114 : 2097152 104264192 0 65536 65536 0 0 0 0 
matmul.1.sm_86.ptx 113 : 2097152 23081024 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 112 : 2097152 102408960 0 131072 65536 0 0 0 0 
matmul.1.sm_86.ptx 111 : 2097152 105964128 0 65536 65536 0 0 0 0 
matmul.1.sm_86.ptx 110 : 2097152 22666720 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 109 : 2097152 110396320 0 131072 65536 0 0 0 0 
matmul.1.sm_86.ptx 108 : 2097152 108112576 0 65536 65536 0 0 0 0 
matmul.1.sm_86.ptx 107 : 2097152 22203040 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 106 : 2097152 107142944 0 131072 65536 0 0 0 0 
matmul.1.sm_86.ptx 105 : 2097152 112674720 0 65536 65536 0 0 0 0 
matmul.1.sm_86.ptx 104 : 2097152 21564128 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 103 : 2097152 143488992 0 131072 65536 0 0 0 0 
matmul.1.sm_86.ptx 63 : 32768 394432 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 62 : 32768 406912 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 61 : 32768 387264 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 60 : 32768 410432 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 59 : 32768 364992 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 58 : 32768 252480 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 57 : 32768 358656 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 56 : 32768 243072 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 55 : 32768 355712 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 54 : 32768 199488 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 53 : 32768 200448 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 51 : 32768 0 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 50 : 32768 201088 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 49 : 32768 261440 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 48 : 32768 354048 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 64 : 32768 391232 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 162 : 32768 226368 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 35 : 32768 995456 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 163 : 32768 209824 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 36 : 32768 417728 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 95 : 2097152 20632800 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 164 : 32768 173072 0 0 0 0 0 0 128 
matmul.1.sm_86.ptx 37 : 32768 425984 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 96 : 2097152 20425312 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 38 : 32768 425984 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 97 : 2097152 542735264 0 0 0 262144 65536 0 0 
matmul.1.sm_86.ptx 166 : 2048 19792 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 39 : 32768 425984 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 167 : 2048 15952 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 40 : 32768 434816 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 168 : 2048 19440 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 41 : 32768 346432 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 100 : 2097152 17450592 0 131072 65536 0 0 0 0 
matmul.1.sm_86.ptx 169 : 2048 18832 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 42 : 32768 196608 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 101 : 2097152 13720288 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 170 : 2048 9408 0 0 0 256 128 0 0 
matmul.1.sm_86.ptx 43 : 32768 196608 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 102 : 2097152 106848352 0 65536 65536 0 0 0 0 
matmul.1.sm_86.ptx 44 : 32768 1146880 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 45 : 32768 249152 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 173 : 32768 187584 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 46 : 32768 202368 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 47 : 32768 206848 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 65 : 32768 291392 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 66 : 32768 440640 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 67 : 32768 411456 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 68 : 32768 369856 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 69 : 32768 257280 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 70 : 32768 252480 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 71 : 32768 367936 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 72 : 32768 264960 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 73 : 32768 249856 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 74 : 32768 243200 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 75 : 32768 232000 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 76 : 32768 225600 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 79 : 2097152 14965408 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 80 : 2097152 15564928 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 81 : 2097152 14312544 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 82 : 2097152 14193632 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 83 : 2097152 12244176 0 0 0 0 0 0 8192 
